Color,Quality,Volatile Acidity,Density,Alcohol,pH,Residual Sugar,Sulphates,Chlorides
white,8,0.28,0.99,12.8,3.36,2.2,0.33,0.04
red,8,0.35,1.0,12.8,3.35,3.6,0.86,0.08
white,8,0.41,0.99,12.8,3.34,3.5,0.54,0.03
white,8,0.66,0.99,12.8,3.33,1.2,0.39,0.03
white,8,0.66,0.99,12.8,3.33,1.2,0.39,0.03
white,8,0.53,0.99,12.7,3.26,3.8,0.57,0.03
red,8,0.57,0.99,12.7,3.46,2.3,0.74,0.06
white,8,0.44,0.99,12.7,3.16,9.1,0.27,0.03
white,8,0.29,0.99,12.7,3.24,4.7,0.56,0.06
white,8,0.45,0.99,12.7,3.07,8.8,0.25,0.03
white,8,0.39,0.99,12.7,3.39,1.1,0.48,0.04
red,8,0.32,1.0,12.6,3.23,6.4,0.82,0.07
white,8,0.26,0.99,12.6,3.22,3.6,0.62,0.03
white,8,0.26,0.99,12.6,3.06,5.5,0.33,0.02
white,8,0.37,0.99,12.6,3.45,1.9,0.6,0.02
white,8,0.21,0.99,12.6,3.09,1.8,0.75,0.03
white,8,0.3,0.99,12.6,3.2,4.0,0.6,0.04
white,8,0.24,0.99,12.6,3.19,2.8,0.38,0.03
white,8,0.3,0.99,12.6,3.2,4.0,0.6,0.04
white,8,0.29,0.99,12.6,3.24,3.9,0.6,0.03
white,8,0.22,0.99,12.5,3.06,9.2,0.34,0.03
white,8,0.32,0.99,12.5,3.36,4.8,0.6,0.03
white,8,0.22,0.99,12.5,3.06,9.2,0.34,0.03
white,8,0.28,0.99,12.5,3.08,7.6,0.59,0.03
white,8,0.53,0.99,12.5,3.08,6.1,0.5,0.03
white,8,0.28,0.99,12.5,3.16,4.7,0.42,0.03
white,8,0.28,0.99,12.5,3.16,4.7,0.42,0.03
white,8,0.28,0.99,12.5,3.08,7.6,0.59,0.03
white,8,0.32,1.0,12.5,3.38,14.5,0.5,0.04
red,8,0.4,0.99,12.5,3.21,1.8,0.69,0.07
white,8,0.55,0.99,12.5,3.53,8.3,0.51,0.03
white,8,0.35,0.99,12.4,3.14,8.65,0.38,0.03
white,8,0.36,0.99,12.4,3.0,8.6,0.32,0.04
white,8,0.33,0.99,12.4,2.99,7.5,0.32,0.04
white,8,0.32,0.99,12.4,3.27,5.0,0.5,0.06
white,8,0.16,0.99,12.4,3.35,1.4,0.64,0.04
white,8,0.33,0.99,12.4,3.26,1.3,0.44,0.02
white,8,0.28,0.99,12.4,3.19,5.15,0.34,0.04
white,8,0.21,0.99,12.4,3.23,1.6,0.94,0.04
white,8,0.36,0.99,12.4,3.25,3.2,0.65,0.04
white,8,0.4,0.99,12.3,3.21,4.5,0.59,0.03
white,8,0.34,0.99,12.3,3.13,9.0,0.38,0.03
white,8,0.3,0.99,12.3,3.25,4.1,0.79,0.04
white,8,0.28,0.99,12.3,2.99,8.3,0.38,0.03
white,8,0.26,0.99,12.3,3.4,5.2,0.4,0.03
white,8,0.28,0.99,12.3,2.99,4.2,0.41,0.03
white,8,0.31,0.99,12.3,3.3,5.0,0.6,0.04
white,8,0.17,0.99,12.2,3.26,12.8,0.38,0.04
white,8,0.23,0.99,12.2,3.23,4.6,0.49,0.06
white,8,0.33,0.99,12.2,2.97,6.6,0.31,0.04
white,8,0.25,0.99,12.2,3.28,2.1,0.43,0.04
white,8,0.23,0.99,12.2,3.26,1.9,0.4,0.04
white,8,0.28,0.99,12.2,3.41,6.5,0.58,0.04
white,8,0.44,0.99,12.1,3.36,1.4,0.33,0.04
white,8,0.44,0.99,12.1,3.36,1.4,0.33,0.04
white,8,0.23,0.99,12.1,3.35,7.1,0.47,0.03
white,8,0.35,0.99,12.1,3.11,0.8,0.5,0.03
white,8,0.15,0.99,12.1,3.19,6.0,0.71,0.03
white,8,0.15,0.99,12.1,3.19,6.0,0.71,0.03
white,8,0.43,0.99,12.0,3.15,3.6,0.34,0.05
white,8,0.46,0.99,12.0,3.38,2.7,0.51,0.04
white,8,0.47,1.0,12.0,3.12,14.8,0.48,0.02
white,8,0.35,0.99,12.0,3.28,2.4,0.46,0.05
white,8,0.47,1.0,12.0,3.12,14.8,0.48,0.02
white,8,0.32,0.99,11.9,3.37,1.55,0.4,0.03
white,8,0.22,0.99,11.9,3.02,6.9,0.39,0.04
white,8,0.12,0.99,11.9,3.41,2.2,0.82,0.04
white,8,0.25,0.99,11.9,3.25,2.1,0.4,0.03
white,8,0.25,0.99,11.9,3.25,2.1,0.4,0.03
white,8,0.16,0.99,11.9,3.3,1.6,0.84,0.03
white,8,0.16,0.99,11.9,3.3,1.6,0.84,0.03
white,8,0.25,0.99,11.9,3.25,2.1,0.4,0.03
white,8,0.17,0.99,11.8,3.38,1.8,0.9,0.04
white,8,0.17,0.99,11.8,3.38,1.8,0.9,0.04
white,8,0.3,0.99,11.8,3.3,4.2,0.36,0.03
red,8,0.26,0.99,11.8,2.98,1.9,0.63,0.08
white,8,0.37,0.99,11.7,3.04,1.0,0.32,0.03
white,8,0.36,0.99,11.7,3.09,10.05,0.33,0.04
white,8,0.36,0.99,11.7,3.09,10.05,0.33,0.04
red,8,0.3,1.0,11.7,3.15,2.8,0.92,0.08
white,8,0.37,0.99,11.7,3.04,1.0,0.32,0.03
red,8,0.42,1.0,11.7,3.35,1.8,0.69,0.07
white,8,0.31,0.99,11.7,3.42,8.4,0.4,0.03
white,8,0.36,0.99,11.6,3.09,10.5,0.33,0.04
white,8,0.21,0.99,11.6,3.22,1.3,0.95,0.04
white,8,0.18,0.99,11.5,3.32,1.6,0.59,0.04
white,8,0.13,0.99,11.5,3.41,1.0,0.51,0.04
white,8,0.33,0.99,11.5,3.06,14.5,0.3,0.05
white,8,0.15,0.99,11.5,3.26,14.0,0.38,0.03
white,8,0.18,0.99,11.5,3.32,1.6,0.59,0.04
white,8,0.22,0.99,11.5,3.22,7.8,0.6,0.05
red,8,0.36,0.99,11.4,3.24,1.8,0.7,0.07
white,8,0.28,0.99,11.4,3.04,7.4,0.47,0.04
white,8,0.24,0.99,11.3,3.04,3.85,0.59,0.04
white,8,0.22,0.99,11.3,3.41,6.0,0.36,0.03
white,8,0.25,0.99,11.3,3.27,9.05,0.34,0.04
white,8,0.24,0.99,11.3,3.04,3.85,0.59,0.04
red,8,0.38,0.99,11.3,3.23,2.0,0.76,0.06
white,8,0.24,0.99,11.2,3.55,3.8,0.49,0.03
white,8,0.29,0.99,11.2,3.26,7.0,0.37,0.04
white,8,0.29,0.99,11.2,3.26,7.0,0.37,0.04
white,8,0.24,0.99,11.2,3.17,1.3,0.42,0.04
white,8,0.24,0.99,11.2,3.55,3.8,0.49,0.03
white,8,0.13,0.99,11.2,2.98,1.1,0.39,0.03
white,8,0.19,0.99,11.1,3.25,7.05,0.37,0.02
white,8,0.21,0.99,11.1,3.25,2.2,0.4,0.03
white,8,0.26,0.99,11.1,3.02,7.1,0.34,0.03
white,8,0.18,0.99,11.1,3.34,1.4,0.58,0.04
white,8,0.4,0.99,11.1,3.3,5.4,0.5,0.04
red,8,0.35,1.0,11.0,3.15,2.6,0.65,0.07
white,8,0.17,0.99,11.0,3.11,6.4,0.5,0.06
white,8,0.21,0.99,11.0,3.3,1.6,0.5,0.03
red,8,0.35,1.0,11.0,3.15,2.6,0.65,0.07
white,8,0.21,0.99,11.0,3.3,1.6,0.5,0.03
white,8,0.15,0.99,11.0,3.42,1.8,0.69,0.03
white,8,0.24,1.0,11.0,3.33,13.3,0.46,0.04
white,8,0.24,0.99,11.0,3.59,1.3,0.38,0.03
white,8,0.15,0.99,11.0,3.42,1.8,0.69,0.03
white,8,0.22,0.99,10.9,3.13,7.2,0.55,0.03
white,8,0.26,0.99,10.9,3.34,2.2,0.64,0.04
white,8,0.22,0.99,10.9,3.13,7.2,0.55,0.03
white,8,0.23,0.99,10.7,3.33,2.1,0.64,0.05
white,8,0.23,0.99,10.7,3.33,2.1,0.64,0.05
white,8,0.28,0.99,10.7,3.45,2.0,0.49,0.04
white,8,0.28,0.99,10.7,3.43,1.7,0.5,0.04
white,8,0.15,0.99,10.5,3.03,11.4,0.34,0.04
white,8,0.26,0.99,10.5,3.47,1.7,0.48,0.05
white,8,0.22,0.99,10.5,3.01,6.8,0.38,0.03
white,8,0.27,0.99,10.5,3.35,11.4,0.48,0.04
white,8,0.24,0.99,10.4,3.23,2.0,0.64,0.04
white,8,0.27,0.99,10.4,3.22,1.7,0.63,0.03
white,8,0.15,0.99,10.4,3.24,4.4,0.46,0.03
white,8,0.15,0.99,10.4,3.24,4.4,0.46,0.03
white,8,0.17,1.0,10.4,3.17,8.1,0.38,0.12
white,8,0.15,0.99,10.4,3.13,2.2,0.39,0.05
white,8,0.17,1.0,10.4,3.17,8.1,0.38,0.12
red,8,0.33,1.0,10.0,3.23,1.7,1.1,0.06
white,8,0.12,1.0,9.8,3.19,10.3,0.38,0.04
white,8,0.12,1.0,9.8,3.19,10.3,0.38,0.04
red,8,0.31,1.0,9.8,2.88,2.2,0.82,0.07
white,8,0.12,1.0,9.8,3.19,10.3,0.38,0.04
white,8,0.26,0.99,9.6,3.32,1.1,0.58,0.04
white,8,0.2,1.0,8.9,3.14,14.2,0.46,0.06
white,8,0.2,1.0,8.9,3.14,14.2,0.46,0.06
white,8,0.2,1.0,8.9,3.14,14.2,0.46,0.06
white,8,0.2,1.0,8.9,3.14,14.2,0.46,0.06
white,8,0.2,1.0,8.9,3.14,14.2,0.46,0.06
white,8,0.2,1.0,8.9,3.14,14.2,0.46,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.17,1.0,8.8,3.28,14.1,0.75,0.05
white,8,0.21,0.99,8.8,3.02,2.4,0.47,0.06
white,8,0.17,1.0,8.8,3.28,14.1,0.75,0.05
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.19,1.0,8.8,2.94,13.9,0.41,0.06
white,8,0.18,1.0,8.5,3.24,12.6,0.76,0.04
white,7,0.35,0.99,14.2,3.12,1.6,0.4,0.04
white,7,0.61,0.99,14.05,3.26,8.4,0.72,0.04
red,7,0.42,0.99,14.0,3.71,2.1,0.74,0.05
white,7,0.46,0.99,14.0,3.21,1.9,0.83,0.04
white,7,0.46,0.99,14.0,3.21,1.9,0.83,0.04
white,7,0.29,0.99,14.0,3.39,2.6,0.79,0.02
white,7,0.32,0.99,13.9,3.36,2.6,0.78,0.03
white,7,0.24,0.99,13.9,3.1,1.4,0.29,0.04
white,7,0.34,0.99,13.9,3.41,2.4,0.78,0.03
white,7,0.76,0.99,13.7,3.2,3.2,0.94,0.04
white,7,0.17,0.99,13.7,3.41,3.1,0.33,0.03
white,7,0.29,0.99,13.7,3.08,1.8,0.42,0.04
white,7,0.49,0.99,13.7,3.42,4.5,0.9,0.04
white,7,0.49,0.99,13.7,3.42,4.5,0.9,0.04
white,7,0.31,0.99,13.7,3.25,4.5,0.52,0.02
white,7,0.31,0.99,13.7,3.25,4.5,0.52,0.02
white,7,0.38,0.99,13.6,3.18,3.5,0.47,0.04
red,7,0.47,0.99,13.6,3.54,2.2,0.88,0.05
white,7,0.38,0.99,13.6,3.18,3.5,0.47,0.04
white,7,0.3,0.99,13.6,3.31,1.2,0.4,0.03
white,7,0.3,0.99,13.6,3.31,1.2,0.4,0.03
red,7,0.42,0.99,13.6,3.68,1.8,0.73,0.04
red,7,0.36,0.99,13.6,3.38,1.8,0.88,0.08
red,7,0.47,0.99,13.57,3.54,2.2,0.88,0.05
white,7,0.5,0.99,13.5,3.48,5.0,0.88,0.03
white,7,0.36,0.99,13.5,3.2,1.95,0.45,0.03
white,7,0.2,0.99,13.5,3.36,5.4,0.41,0.03
white,7,0.37,0.99,13.5,3.22,2.2,0.53,0.03
white,7,0.37,0.99,13.5,3.22,2.2,0.53,0.03
white,7,0.41,0.99,13.5,3.32,1.9,0.5,0.03
white,7,0.36,0.99,13.5,3.19,2.4,0.44,0.04
white,7,0.44,0.99,13.5,3.07,2.7,0.43,0.04
white,7,0.44,0.99,13.5,3.07,2.7,0.43,0.04
white,7,0.22,0.99,13.5,3.27,5.0,0.36,0.03
white,7,0.5,0.99,13.4,3.36,2.0,0.77,0.04
white,7,0.33,0.99,13.4,3.23,7.5,0.43,0.04
white,7,0.34,0.99,13.4,3.22,6.0,0.29,0.02
white,7,0.48,0.99,13.4,3.23,3.95,0.53,0.05
white,7,0.21,0.99,13.4,3.19,8.55,0.22,0.02
white,7,0.33,0.99,13.4,3.18,4.2,0.48,0.04
red,7,0.4,1.0,13.4,3.32,2.6,0.9,0.05
white,7,0.4,0.99,13.3,3.05,7.9,0.46,0.03
white,7,0.36,0.99,13.3,3.2,4.0,0.5,0.04
white,7,0.32,0.99,13.3,3.07,1.3,0.64,0.02
white,7,0.33,0.99,13.3,3.25,2.0,0.53,0.04
white,7,0.43,0.99,13.3,2.98,6.6,0.39,0.03
white,7,0.33,0.99,13.3,3.11,2.65,0.39,0.04
red,7,0.41,1.0,13.3,3.34,2.5,0.79,0.06
white,7,0.19,0.99,13.2,3.46,2.7,0.4,0.03
white,7,0.34,0.99,13.2,3.2,4.0,0.5,0.03
white,7,0.44,0.99,13.2,3.15,5.8,0.57,0.04
white,7,0.4,0.99,13.2,2.84,5.45,0.54,0.02
white,7,0.28,0.99,13.2,2.98,2.1,0.43,0.03
white,7,0.3,0.99,13.1,3.23,4.9,0.58,0.04
white,7,0.3,0.99,13.1,3.23,4.9,0.58,0.04
white,7,0.39,0.99,13.1,3.26,4.9,0.58,0.03
white,7,0.35,0.99,13.1,3.26,3.1,0.38,0.03
white,7,0.32,0.99,13.1,3.22,4.7,0.57,0.04
white,7,0.24,0.99,13.1,3.32,1.1,0.32,0.03
white,7,0.29,0.99,13.1,3.31,3.6,0.37,0.03
white,7,0.33,0.99,13.1,3.31,3.0,0.4,0.04
white,7,0.22,0.99,13.05,3.2,1.2,0.46,0.02
white,7,0.5,0.99,13.0,3.26,4.1,0.55,0.04
white,7,0.36,0.99,13.0,3.06,8.15,0.27,0.04
white,7,0.3,0.99,13.0,3.36,3.7,0.3,0.03
white,7,0.35,0.99,13.0,3.24,2.7,0.48,0.04
white,7,0.31,0.99,13.0,3.56,2.4,0.45,0.03
white,7,0.31,0.99,13.0,3.01,8.2,0.34,0.03
white,7,0.41,0.99,13.0,3.04,1.9,0.79,0.02
red,7,0.84,0.99,13.0,3.57,1.2,0.85,0.05
white,7,0.39,0.99,13.0,3.25,4.0,0.53,0.04
white,7,0.19,0.99,13.0,3.31,1.0,0.38,0.03
white,7,0.19,0.99,13.0,3.31,1.0,0.38,0.03
white,7,0.58,0.99,13.0,3.17,5.8,0.53,0.03
white,7,0.47,0.99,13.0,3.29,4.75,0.46,0.03
white,7,0.28,0.99,13.0,3.19,15.5,0.44,0.04
white,7,0.28,0.99,13.0,3.19,15.5,0.44,0.04
white,7,0.28,0.99,13.0,3.19,15.5,0.44,0.04
white,7,0.52,0.99,13.0,3.11,5.7,0.27,0.04
white,7,0.38,0.99,13.0,3.08,4.9,0.48,0.02
red,7,0.37,1.0,13.0,3.22,4.2,0.6,0.07
white,7,0.21,0.99,12.9,3.02,1.6,0.6,0.03
white,7,0.3,0.99,12.9,3.26,1.6,0.39,0.04
white,7,0.23,0.99,12.9,3.3,1.5,0.4,0.02
white,7,0.22,0.99,12.9,3.06,2.3,0.34,0.02
white,7,0.34,0.99,12.9,3.4,2.0,0.41,0.03
white,7,0.3,0.99,12.9,3.41,2.0,0.41,0.03
white,7,0.34,0.99,12.9,3.4,2.0,0.41,0.03
red,7,0.38,0.99,12.9,3.34,2.8,0.72,0.07
white,7,0.35,0.99,12.9,3.13,9.0,0.65,0.03
white,7,0.35,0.99,12.9,3.13,9.0,0.65,0.03
white,7,0.2,0.99,12.9,3.08,9.7,0.56,0.03
red,7,0.58,0.99,12.9,3.56,1.7,0.94,0.04
white,7,0.12,0.99,12.9,3.12,1.95,0.25,0.04
white,7,0.43,0.99,12.9,3.28,8.8,0.33,0.04
white,7,0.3,0.99,12.9,3.03,6.2,0.32,0.02
white,7,0.3,0.99,12.9,3.22,2.1,0.46,0.05
white,7,0.26,0.99,12.9,3.05,1.3,0.59,0.04
white,7,0.28,0.99,12.9,3.08,1.4,0.64,0.03
white,7,0.29,0.99,12.9,3.15,6.75,0.8,0.03
white,7,0.24,0.99,12.9,3.08,1.3,0.64,0.03
red,7,0.51,0.99,12.9,3.46,2.1,0.87,0.04
white,7,0.41,0.99,12.89,3.12,5.4,0.44,0.04
white,7,0.41,0.99,12.89,3.12,5.4,0.44,0.04
white,7,0.29,0.99,12.8,3.17,3.3,0.36,0.04
white,7,0.29,0.99,12.8,3.17,3.3,0.36,0.04
white,7,0.28,0.99,12.8,3.39,4.0,0.39,0.03
white,7,0.36,0.99,12.8,3.1,2.5,0.47,0.04
white,7,0.32,0.99,12.8,3.2,2.3,0.52,0.04
white,7,0.26,0.99,12.8,3.14,7.0,0.49,0.02
white,7,0.32,0.99,12.8,3.15,1.4,0.51,0.03
red,7,0.28,0.99,12.8,3.33,2.4,0.7,0.05
red,7,0.36,0.99,12.8,3.36,1.8,0.55,0.07
red,7,0.66,0.99,12.8,3.71,2.2,0.63,0.09
red,7,0.66,0.99,12.8,3.71,2.2,0.63,0.09
red,7,0.36,0.99,12.8,3.36,1.8,0.55,0.07
white,7,0.44,0.99,12.8,3.26,4.3,0.53,0.03
red,7,0.28,0.99,12.8,3.33,2.4,0.7,0.05
white,7,0.31,0.99,12.8,3.09,2.4,0.36,0.04
white,7,0.42,0.99,12.8,3.0,4.1,0.32,0.03
white,7,0.25,0.99,12.8,3.09,4.9,0.58,0.03
white,7,0.42,0.99,12.8,3.0,4.1,0.32,0.03
white,7,0.31,0.99,12.8,3.09,2.4,0.36,0.04
white,7,0.32,0.99,12.8,3.15,7.6,0.65,0.02
white,7,0.46,0.99,12.8,3.18,4.1,0.44,0.03
white,7,0.28,0.99,12.8,3.12,7.75,0.64,0.03
white,7,0.32,0.99,12.8,3.15,7.6,0.65,0.02
white,7,0.26,0.99,12.8,3.22,3.1,0.39,0.04
white,7,0.26,0.99,12.8,3.22,3.1,0.39,0.04
white,7,0.36,0.99,12.8,3.19,6.1,0.27,0.03
red,7,0.33,0.99,12.8,3.3,2.8,0.76,0.07
white,7,0.57,0.99,12.8,3.29,3.9,0.67,0.03
white,7,0.24,0.99,12.8,3.13,11.3,0.55,0.03
white,7,0.31,0.99,12.8,3.08,3.95,0.67,0.04
white,7,0.42,0.99,12.8,3.22,2.4,0.38,0.02
white,7,0.32,0.99,12.8,3.29,1.9,0.42,0.03
white,7,0.19,0.99,12.8,3.04,2.0,0.54,0.02
white,7,0.29,0.99,12.8,3.34,1.1,0.38,0.02
white,7,0.32,0.99,12.8,3.29,1.9,0.42,0.03
white,7,0.18,0.99,12.8,3.24,1.3,0.37,0.03
white,7,0.35,0.99,12.8,3.27,2.6,0.53,0.04
white,7,0.22,0.99,12.7,3.15,2.8,0.38,0.03
white,7,0.2,0.99,12.7,3.16,2.7,0.39,0.03
white,7,0.23,0.99,12.7,3.25,1.6,0.4,0.03
white,7,0.4,0.99,12.7,3.59,1.7,0.48,0.04
white,7,0.18,0.99,12.7,3.26,1.4,0.37,0.04
white,7,0.31,0.99,12.7,3.32,2.3,0.41,0.04
white,7,0.29,0.99,12.7,3.31,2.3,0.41,0.04
white,7,0.31,0.99,12.7,3.32,2.3,0.41,0.04
white,7,0.22,0.99,12.7,3.16,2.7,0.37,0.03
red,7,0.33,0.99,12.7,3.38,2.3,0.77,0.07
white,7,0.48,0.99,12.7,3.15,1.4,0.53,0.02
white,7,0.3,0.99,12.7,3.31,2.2,0.44,0.04
white,7,0.48,0.99,12.7,3.15,1.4,0.53,0.02
white,7,0.32,0.99,12.7,3.2,7.7,0.7,0.02
white,7,0.4,0.99,12.7,3.22,3.2,0.54,0.03
white,7,0.33,0.99,12.7,3.22,8.1,0.36,0.04
white,7,0.37,0.99,12.7,3.28,3.9,0.39,0.03
white,7,0.37,0.99,12.7,3.41,1.6,0.55,0.03
white,7,0.3,0.99,12.7,3.39,2.1,0.43,0.03
white,7,0.3,0.99,12.7,3.39,2.1,0.43,0.03
red,7,0.66,0.99,12.7,3.35,2.4,0.66,0.05
white,7,0.18,0.99,12.7,3.09,1.2,0.49,0.04
white,7,0.36,0.99,12.7,3.08,4.8,0.49,0.02
white,7,0.36,0.99,12.7,3.08,4.8,0.49,0.02
white,7,0.21,0.99,12.6,3.16,2.1,0.61,0.03
white,7,0.36,0.99,12.6,2.9,3.2,0.69,0.03
white,7,0.42,0.99,12.6,3.19,6.8,0.37,0.04
white,7,0.27,0.99,12.6,3.45,4.5,0.31,0.03
white,7,0.3,0.99,12.6,3.4,1.7,0.56,0.01
white,7,0.4,0.99,12.6,3.16,6.5,0.58,0.04
white,7,0.21,0.99,12.6,3.24,1.5,0.36,0.04
white,7,0.21,0.99,12.6,3.25,1.8,0.41,0.03
white,7,0.24,0.99,12.6,3.26,1.7,0.4,0.04
white,7,0.32,0.99,12.6,3.33,3.3,0.63,0.03
white,7,0.3,0.99,12.6,3.34,2.3,0.44,0.04
white,7,0.44,0.99,12.6,3.29,1.9,0.62,0.03
red,7,0.38,0.99,12.6,3.27,2.2,0.75,0.07
white,7,0.26,0.99,12.6,3.22,6.4,0.49,0.04
white,7,0.46,0.99,12.6,3.08,2.4,0.44,0.03
white,7,0.4,0.99,12.6,3.16,6.5,0.58,0.04
white,7,0.33,0.99,12.6,3.26,4.0,0.64,0.04
white,7,0.33,0.99,12.6,2.96,6.35,0.4,0.02
white,7,0.27,0.99,12.6,3.32,1.7,0.47,0.02
white,7,0.37,0.99,12.6,3.3,2.0,0.59,0.03
red,7,0.41,1.0,12.6,3.24,6.2,0.77,0.08
white,7,0.37,0.99,12.6,3.3,2.0,0.59,0.03
white,7,0.29,0.99,12.6,3.21,1.7,0.51,0.02
white,7,0.32,0.99,12.6,3.15,7.1,0.6,0.03
white,7,0.27,0.99,12.6,3.45,4.5,0.31,0.03
white,7,0.36,0.99,12.6,3.27,4.6,0.34,0.04
white,7,0.44,0.99,12.6,3.16,5.85,0.54,0.03
white,7,0.31,0.99,12.6,3.13,8.0,0.63,0.03
white,7,0.31,0.99,12.6,3.13,8.0,0.63,0.03
white,7,0.29,0.99,12.6,2.9,3.2,0.66,0.04
white,7,0.25,0.99,12.6,3.12,5.0,0.38,0.04
white,7,0.3,0.99,12.6,3.1,1.1,0.46,0.04
white,7,0.21,0.99,12.6,3.32,1.8,0.44,0.04
red,7,0.31,0.99,12.5,3.31,2.4,0.77,0.08
red,7,0.31,0.99,12.5,3.31,2.4,0.77,0.08
white,7,0.39,0.99,12.5,3.08,3.6,0.6,0.04
white,7,0.24,0.99,12.5,3.28,2.2,0.36,0.03
red,7,0.31,0.99,12.5,3.15,2.1,0.81,0.22
white,7,0.41,0.99,12.5,3.3,4.7,0.38,0.02
red,7,0.27,0.99,12.5,3.19,5.0,0.52,0.08
white,7,0.48,0.99,12.5,3.25,7.0,0.45,0.02
white,7,0.21,0.99,12.5,3.32,6.6,0.45,0.03
white,7,0.33,0.99,12.5,3.51,1.6,0.38,0.03
white,7,0.33,0.99,12.5,3.51,1.6,0.38,0.03
white,7,0.33,0.99,12.5,3.51,1.6,0.38,0.03
white,7,0.36,0.99,12.5,2.93,5.7,0.59,0.04
white,7,0.22,0.99,12.5,3.35,1.3,0.38,0.03
white,7,0.45,0.99,12.5,3.12,4.7,0.36,0.04
white,7,0.22,0.99,12.5,3.29,6.5,0.44,0.03
white,7,0.36,0.99,12.5,2.93,5.7,0.59,0.04
red,7,0.25,0.99,12.5,3.27,2.0,0.71,0.04
white,7,0.33,0.99,12.5,3.25,3.8,0.63,0.04
white,7,0.33,0.99,12.5,3.25,3.8,0.63,0.04
white,7,0.39,0.99,12.5,3.08,3.6,0.6,0.04
red,7,0.52,0.99,12.5,3.4,2.4,0.72,0.07
white,7,0.32,0.99,12.5,3.4,4.6,0.73,0.03
red,7,0.31,0.99,12.5,3.22,2.5,0.59,0.08
white,7,0.33,0.99,12.5,3.25,3.8,0.63,0.04
white,7,0.29,0.99,12.5,3.24,2.4,0.66,0.01
white,7,0.4,0.99,12.5,3.51,6.0,0.58,0.03
red,7,0.57,0.99,12.5,3.57,1.7,0.84,0.05
white,7,0.26,0.99,12.5,3.48,1.8,0.52,0.04
white,7,0.28,0.99,12.5,3.32,1.5,0.6,0.03
red,7,0.49,1.0,12.5,3.16,2.9,0.78,0.07
white,7,0.37,0.99,12.4,3.23,4.0,0.46,0.03
white,7,0.24,0.99,12.4,3.37,1.3,0.43,0.03
red,7,0.28,0.99,12.4,3.26,2.1,0.62,0.09
white,7,0.28,0.99,12.4,2.99,1.1,0.39,0.03
red,7,0.28,0.99,12.4,3.26,2.1,0.62,0.09
white,7,0.16,0.99,12.4,3.54,1.5,0.52,0.04
red,7,0.33,1.0,12.4,3.36,2.2,0.76,0.07
