,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage,Probability of Automation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
11,112011,Advertising and Promotions Managers,"28,860","117,810","44,950","67,000","100,810","147,640",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,112020,Marketing and Sales Managers,"571,120","138,350","59,280","84,270","122,930","172,390",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,112021,Marketing Managers,"205,900","144,140","67,490","93,200","131,180","178,690",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,112022,Sales Managers,"365,230","135,090","55,790","79,420","117,960","168,300",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,112030,Public Relations and Fundraising Managers,"63,970","123,360","59,070","78,710","107,320","151,970","205,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,112031,Public Relations and Fundraising Managers,"63,970","123,360","59,070","78,710","107,320","151,970","205,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,113000,Operations Specialties Managers,"1,693,430","125,470","61,040","81,680","112,080","153,250","204,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,113010,Administrative Services Managers,"266,280","98,930","49,270","66,180","90,050","120,990","159,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,113011,Administrative Services Managers,"266,280","98,930","49,270","66,180","90,050","120,990","159,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,113020,Computer and Information Systems Managers,"352,510","145,740","82,360","105,290","135,800","170,670",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,113021,Computer and Information Systems Managers,"352,510","145,740","82,360","105,290","135,800","170,670",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,113030,Financial Managers,"543,300","139,720","65,000","87,530","121,750","168,790",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,113031,Financial Managers,"543,300","139,720","65,000","87,530","121,750","168,790",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,113050,Industrial Production Managers,"168,400","107,060","58,610","74,670","97,140","127,590","165,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,113051,Industrial Production Managers,"168,400","107,060","58,610","74,670","97,140","127,590","165,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,113060,Purchasing Managers,"71,750","117,720","63,380","82,880","111,590","142,820","177,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,113061,Purchasing Managers,"71,750","117,720","63,380","82,880","111,590","142,820","177,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,113070,"Transportation, Storage, and Distribution Managers","113,270","97,630","52,670","68,140","89,190","117,300","152,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,113071,"Transportation, Storage, and Distribution Managers","113,270","97,630","52,670","68,140","89,190","117,300","152,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,113110,Compensation and Benefits Managers,"15,230","126,900","66,150","87,120","116,240","156,050","199,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,113111,Compensation and Benefits Managers,"15,230","126,900","66,150","87,120","116,240","156,050","199,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,113120,Human Resources Managers,"129,810","120,210","63,140","80,800","106,910","145,220","193,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,113121,Human Resources Managers,"129,810","120,210","63,140","80,800","106,910","145,220","193,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,113130,Training and Development Managers,"32,880","115,180","57,760","78,050","105,830","139,260","184,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,113131,Training and Development Managers,"32,880","115,180","57,760","78,050","105,830","139,260","184,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,119000,Other Management Occupations,"2,267,610","97,480","42,480","60,570","87,420","122,070","161,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,119010,"Farmers, Ranchers, and Other Agricultural Managers","4,560","75,790","35,020","47,160","66,360","90,860","126,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,119013,"Farmers, Ranchers, and Other Agricultural Managers","4,560","75,790","35,020","47,160","66,360","90,860","126,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,119020,Construction Managers,"249,650","99,510","53,740","68,050","89,300","119,710","158,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,119021,Construction Managers,"249,650","99,510","53,740","68,050","89,300","119,710","158,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,119030,Education Administrators,"464,070","93,160","46,620","64,940","86,950","113,640","145,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,119031,"Education Administrators, Preschool and Childcare Center/Program","48,530","52,150","29,230","35,690","45,790","61,250","82,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,119032,"Education Administrators, Elementary and Secondary School","242,970","95,390","59,910","73,710","92,510","114,950","135,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,119033,"Education Administrators, Postsecondary","138,430","105,770","51,690","66,730","90,760","126,750","179,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,119039,"Education Administrators, All Other","34,140","84,400","42,910","56,910","78,210","103,880","131,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,119040,Architectural and Engineering Managers,"178,390","143,870","86,000","108,040","134,730","167,290","207,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,119041,Architectural and Engineering Managers,"178,390","143,870","86,000","108,040","134,730","167,290","207,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,119050,Food Service Managers,"201,470","56,010","29,290","38,260","50,820","66,990","87,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,119051,Food Service Managers,"201,470","56,010","29,290","38,260","50,820","66,990","87,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,119060,Funeral Service Managers,"8,370","88,970","39,240","54,950","73,830","104,760","147,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,119061,Funeral Service Managers,"8,370","88,970","39,240","54,950","73,830","104,760","147,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,119070,Gaming Managers,"4,280","79,690","43,830","53,950","69,180","92,670","124,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,119071,Gaming Managers,"4,280","79,690","43,830","53,950","69,180","92,670","124,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,119080,Lodging Managers,"35,410","59,410","28,870","37,520","51,840","70,540","96,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,119081,Lodging Managers,"35,410","59,410","28,870","37,520","51,840","70,540","96,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,119110,Medical and Health Services Managers,"332,150","109,370","56,970","73,710","96,540","127,030","172,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,119111,Medical and Health Services Managers,"332,150","109,370","56,970","73,710","96,540","127,030","172,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,119120,Natural Sciences Managers,"54,780","136,150","66,920","92,070","119,850","160,990",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,119121,Natural Sciences Managers,"54,780","136,150","66,920","92,070","119,850","160,990",#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,119130,Postmasters and Mail Superintendents,"14,720","71,980","56,190","63,250","71,670","81,840","89,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,119131,Postmasters and Mail Superintendents,"14,720","71,980","56,190","63,250","71,670","81,840","89,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,119140,"Property, Real Estate, and Community Association Managers","180,290","70,290","28,260","39,910","57,040","83,110","126,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,119141,"Property, Real Estate, and Community Association Managers","180,290","70,290","28,260","39,910","57,040","83,110","126,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,119150,Social and Community Service Managers,"126,230","70,870","39,770","50,030","64,680","85,230","110,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,119151,Social and Community Service Managers,"126,230","70,870","39,770","50,030","64,680","85,230","110,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,119160,Emergency Management Directors,"9,570","78,060","36,760","50,160","70,500","99,200","133,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,119161,Emergency Management Directors,"9,570","78,060","36,760","50,160","70,500","99,200","133,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,119190,Miscellaneous Managers,"403,670","112,150","52,860","75,710","104,970","137,220","172,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,119199,"Managers, All Other","403,670","112,150","52,860","75,710","104,970","137,220","172,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,130000,Business and Financial Operations Occupations,"7,281,190","75,070","36,910","49,460","66,530","90,410","120,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,131000,Business Operations Specialists,"4,629,810","71,840","36,100","48,400","65,260","87,840","114,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,131010,"Agents and Business Managers of Artists, Performers, and Athletes","13,470","86,560","27,290","39,560","62,080","97,990","194,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,131011,"Agents and Business Managers of Artists, Performers, and Athletes","13,470","86,560","27,290","39,560","62,080","97,990","194,810",0.24,0.0,0.0,140.0,0.0,4990.0,90.0,170.0,0.0,180.0,970.0,190.0,0.0,0.0,170.0,120.0,0.0,30.0,30.0,0.0,0.0,200.0,210.0,250.0,180.0,0.0,0.0,0.0,0.0,120.0,0.0,200.0,0.0,3050.0,280.0,0.0,90.0,0.0,70.0,140.0,0.0,0.0,0.0,530.0,330.0,0.0,0.0,130.0,0.0,0.0,70.0,0.0
74,131020,Buyers and Purchasing Agents,"418,530","65,390","35,430","45,810","60,700","80,080","101,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,131021,"Buyers and Purchasing Agents, Farm Products","11,490","63,910","32,330","43,320","58,430","77,250","102,410",0.87,250.0,0.0,0.0,90.0,1350.0,90.0,40.0,0.0,0.0,290.0,490.0,90.0,110.0,470.0,240.0,340.0,290.0,120.0,230.0,0.0,170.0,310.0,440.0,370.0,60.0,350.0,60.0,0.0,70.0,0.0,90.0,60.0,300.0,240.0,120.0,310.0,200.0,200.0,260.0,0.0,140.0,300.0,130.0,770.0,110.0,100.0,0.0,190.0,0.0,310.0,0.0
76,131022,"Wholesale and Retail Buyers, Except Farm Products","109,440","60,040","30,110","39,510","53,340","72,430","97,830",0.29,310.0,340.0,1850.0,3080.0,18330.0,1500.0,1150.0,240.0,160.0,3830.0,2630.0,630.0,560.0,4010.0,1610.0,680.0,1690.0,830.0,910.0,840.0,1390.0,3550.0,2060.0,3650.0,530.0,3130.0,320.0,860.0,700.0,480.0,2120.0,210.0,8130.0,2780.0,260.0,4340.0,1300.0,2410.0,3040.0,310.0,600.0,200.0,3260.0,9290.0,1310.0,400.0,0.0,3460.0,250.0,2460.0,140.0
77,131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","297,600","67,420","38,600","48,650","63,300","82,340","101,770",0.77,6240.0,670.0,5030.0,1380.0,33720.0,6050.0,4240.0,760.0,2630.0,15820.0,8060.0,1040.0,1140.0,10150.0,6210.0,2480.0,3410.0,3390.0,2660.0,910.0,6850.0,6060.0,11710.0,6250.0,1570.0,4760.0,710.0,1640.0,1880.0,1490.0,8540.0,1770.0,14740.0,8160.0,630.0,12950.0,3730.0,3170.0,13500.0,820.0,3210.0,690.0,3940.0,27360.0,2540.0,540.0,12520.0,11780.0,700.0,7100.0,320.0
78,131030,"Claims Adjusters, Appraisers, Examiners, and Investigators","289,550","65,040","37,840","48,270","63,670","78,950","95,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,131031,"Claims Adjusters, Examiners, and Investigators","274,420","64,990","37,540","48,020","63,680","78,980","95,760",0.98,3730.0,290.0,0.0,1450.0,32540.0,3340.0,4980.0,430.0,560.0,20020.0,8610.0,730.0,940.0,11180.0,3630.0,3020.0,3030.0,3870.0,3040.0,1690.0,6030.0,7250.0,5650.0,4790.0,1240.0,6950.0,0.0,2420.0,1500.0,1600.0,9490.0,910.0,20520.0,7860.0,650.0,9840.0,3310.0,3010.0,14240.0,1400.0,2480.0,710.0,5720.0,19650.0,1910.0,240.0,5110.0,5730.0,1340.0,6230.0,150.0
80,131032,"Insurance Appraisers, Auto Damage","15,130","65,930","42,740","52,380","63,510","78,560","95,000",0.98,0.0,0.0,460.0,0.0,0.0,90.0,210.0,0.0,0.0,1380.0,470.0,50.0,0.0,390.0,180.0,70.0,300.0,40.0,120.0,90.0,450.0,440.0,190.0,70.0,30.0,260.0,30.0,0.0,0.0,60.0,0.0,0.0,810.0,210.0,0.0,590.0,190.0,70.0,570.0,0.0,0.0,30.0,150.0,1840.0,70.0,0.0,540.0,270.0,0.0,70.0,0.0
81,131040,Compliance Officers,"273,910","70,250","37,630","49,160","66,540","86,620","105,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,131041,Compliance Officers,"273,910","70,250","37,630","49,160","66,540","86,620","105,260",0.08,1400.0,720.0,0.0,2290.0,34290.0,5080.0,3750.0,990.0,4520.0,16260.0,7980.0,1240.0,1300.0,8200.0,3770.0,2010.0,2800.0,2410.0,4460.0,1030.0,6750.0,7070.0,5640.0,4870.0,2250.0,4760.0,930.0,2900.0,2000.0,1250.0,9600.0,1480.0,21130.0,6390.0,1110.0,7110.0,3880.0,2790.0,11360.0,570.0,3090.0,940.0,5010.0,23760.0,2550.0,2200.0,7520.0,7950.0,1110.0,3840.0,400.0
83,131050,Cost Estimators,"214,610","66,620","35,870","47,330","61,790","80,570","103,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,131051,Cost Estimators,"214,610","66,620","35,870","47,330","61,790","80,570","103,250",0.57,2180.0,320.0,5250.0,1140.0,26570.0,4690.0,2280.0,980.0,530.0,13240.0,5260.0,1200.0,1150.0,6750.0,4510.0,2100.0,2060.0,2090.0,2300.0,840.0,4830.0,5830.0,6480.0,4120.0,950.0,4940.0,1050.0,1340.0,1810.0,810.0,5100.0,980.0,9840.0,6810.0,630.0,11180.0,1700.0,2900.0,9360.0,580.0,2730.0,730.0,3290.0,17070.0,2470.0,350.0,9150.0,5900.0,780.0,5180.0,260.0
85,131070,Human Resources Workers,"605,040","64,780","33,110","44,050","59,440","79,360","102,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,131071,Human Resources Specialists,"524,800","64,890","34,770","44,620","59,180","78,460","101,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,131074,Farm Labor Contractors,810,"47,290","18,120","21,280","35,160","60,260","95,360",0.97,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,131075,Labor Relations Specialists,"79,430","64,250","18,480","34,160","62,310","87,020","114,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,131080,Logisticians,"146,060","77,810","45,380","57,520","74,170","94,980","117,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,131081,Logisticians,"146,060","77,810","45,380","57,520","74,170","94,980","117,310",0.012,3460.0,280.0,2330.0,1390.0,16530.0,3030.0,0.0,0.0,1330.0,6150.0,5240.0,430.0,410.0,6450.0,2000.0,1270.0,1370.0,1670.0,870.0,280.0,4640.0,2390.0,7500.0,2690.0,660.0,2590.0,140.0,590.0,340.0,470.0,5980.0,670.0,2960.0,4090.0,320.0,5910.0,2220.0,1570.0,6150.0,410.0,2990.0,110.0,2390.0,13280.0,2370.0,150.0,7020.0,5920.0,280.0,2940.0,90.0
91,131110,Management Analysts,"637,690","91,910","46,560","60,950","81,330","109,170","149,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,131111,Management Analysts,"637,690","91,910","46,560","60,950","81,330","109,170","149,720",0.13,4590.0,670.0,10430.0,3520.0,102850.0,8830.0,8120.0,2220.0,19820.0,42770.0,22730.0,2190.0,2090.0,34280.0,10940.0,4200.0,4410.0,3490.0,3600.0,1110.0,18450.0,22540.0,0.0,12480.0,1480.0,6510.0,690.0,2370.0,2940.0,1900.0,12720.0,2480.0,40000.0,15220.0,560.0,17430.0,4430.0,5710.0,22750.0,2720.0,6720.0,2380.0,6350.0,35330.0,5610.0,620.0,46670.0,17110.0,1860.0,10170.0,370.0
93,131120,"Meeting, Convention, and Event Planners","95,850","52,020","25,670","34,790","47,350","63,140","83,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,131121,"Meeting, Convention, and Event Planners","95,850","52,020","25,670","34,790","47,350","63,140","83,030",0.037000000000000005,400.0,110.0,1850.0,410.0,12830.0,2880.0,700.0,230.0,2630.0,6470.0,2420.0,520.0,430.0,4220.0,1150.0,840.0,610.0,700.0,500.0,240.0,2850.0,2310.0,2070.0,1520.0,270.0,1790.0,410.0,450.0,1090.0,400.0,2760.0,420.0,9160.0,2320.0,200.0,2160.0,1010.0,1320.0,3040.0,350.0,1290.0,250.0,1400.0,7000.0,820.0,280.0,3900.0,0.0,230.0,1520.0,180.0
95,131130,Fundraisers,"68,910","57,930","31,850","41,190","54,130","71,660","91,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,131131,Fundraisers,"68,910","57,930","31,850","41,190","54,130","71,660","91,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,131140,"Compensation, Benefits, and Job Analysis Specialists","79,190","66,490","39,090","48,420","62,080","79,220","101,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,131141,"Compensation, Benefits, and Job Analysis Specialists","79,190","66,490","39,090","48,420","62,080","79,220","101,020",0.47,590.0,160.0,1880.0,660.0,10650.0,1140.0,1070.0,170.0,520.0,3870.0,2760.0,250.0,240.0,2650.0,970.0,480.0,450.0,720.0,1240.0,340.0,1970.0,2250.0,1620.0,1870.0,310.0,1420.0,170.0,570.0,370.0,250.0,2300.0,190.0,8910.0,2450.0,140.0,3050.0,770.0,880.0,3240.0,250.0,820.0,590.0,1740.0,5730.0,510.0,190.0,2340.0,1720.0,260.0,1450.0,60.0
99,131150,Training and Development Specialists,"269,710","63,350","32,410","42,950","59,020","79,280","101,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,131151,Training and Development Specialists,"269,710","63,350","32,410","42,950","59,020","79,280","101,010",0.014,2670.0,0.0,7710.0,2740.0,26660.0,5370.0,3270.0,990.0,1460.0,14800.0,9690.0,940.0,1030.0,9730.0,5460.0,2720.0,3330.0,3030.0,2100.0,950.0,7060.0,6800.0,5370.0,6320.0,1330.0,5270.0,650.0,2360.0,2500.0,1050.0,6350.0,1810.0,18950.0,8860.0,650.0,9090.0,2760.0,3160.0,10310.0,810.0,3940.0,510.0,5450.0,23370.0,4560.0,670.0,10800.0,5780.0,920.0,6270.0,390.0
101,131160,Market Research Analysts and Marketing Specialists,"558,630","70,620","33,950","45,550","62,560","88,260","121,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
